Respondents,party,post,age,ethnicity,sex,religion,profession,marital,income,locality,education,years_politics,healthy_politics,other_party_comm,other_party,internal_conf_sat,fund,compromise,trust_others,separation_power,nature_bd_politics,virtue_1,virtue_1,election_confidence,party_wings,party_members,follow_nation,harmful_nation,constitution_sat,ethnic_network,student_wing_sat,singular_ideology,internal_dem,party_hierarchy,emotional,logical,logic_change,ind_cons_lib,party_cons_lib,conform_party_id,ind_ideo_imp,economy,military_spend,ext_interfere,ally_nation,narcissism,govt_sat,gen_equality,liberation_war,govt_sector_Health,govt_sector_education,values_1,values_2,route_power,source_info,tolerance,sex_lib,death_penalty,religiosity,fav_media,time_media,sac_afterlife,violence,ind_collect,rel_pol,fav_book,fav_leader
82,BNP,"Mohila Doler Ahobayok, Noakhali",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
83,BNP,"President, Zilla BNP (Pirojpur)",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Slightly,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
84,BNP,"Joint Secretary, Upazilla BNP",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
85,BNP,"Member, National Executive Committee",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
86,BNP,"Member of Parliament, Dhaka-3",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Slightly,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
87,BNP,Chatrodol Organizing Secretary (Central),Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
88,BNP,Central Shechhashebok Dol Shangothonik,Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
89,BNP,"General Secretary, Thana BNP (Gopalganj)",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Slightly,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
90,BNP,"Vice President, Ashulia Thana (current)",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
91,BNP,"Mohila Doler Ahobayok, Faridpur",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not at all,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
92,BNP,"President, Zilla BNP (Thakurgaon)",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
93,BNP,"Joint Secretary, Upazilla BNP",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
94,BNP,"Member, National Executive Committee",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
95,BNP,"Member of Parliament, Chapainawabganj-1",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Slightly,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
96,BNP,"Chatrodol Secretary, Dhaka Jela",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not quite,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
97,BNP,Central Shechhashebok Dol Shangothonik,Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
98,BNP,"General Secretary, Thana BNP (Jhenaidah)",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Slightly,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
99,BNP,Vice president,Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
100,BNP,"Mohila Doler Ahobayok, Laxmipur",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
101,BNP,Joint secretary of savar upazilla,>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Slightly,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
102,BNP,"Member, National Executive Committee",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
103,BNP,Ashulia Sramik league,Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
104,BNP,"Member of Parliament, Habiganj-4",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Slightly,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
105,BNP,Central Shechhashebok Dol Shangothonik,Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
106,BNP,"General Secretary, Thana BNP (Magura)",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not at all,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
107,BNP,Vice president (Central),Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
108,BNP,"Secretary, Pabna",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
109,BNP,"Joint Secretary, Upazilla BNP",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
110,BNP,"Member, National Executive Committee",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Slightly,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
111,BNP,"Ahobayok, Pabna",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not quite,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
112,BNP,"Mohila Dol Ahobayok, Netrokona",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
113,BNP,Member,Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not at all,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
114,BNP,Member,Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
115,BNP,"Vice President, Mohila Dol, Netrokona",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Slightly,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
116,BNP,Vice president (Central),>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not quite,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
117,BNP,Member,Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
118,BNP,Secretary,Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
119,BAL,"General Secretary, Noakhali Zilla AL",Fifty One-Sixty,Bengali,Male,Islam,business,Married,Eighty K-One Lac,Semi-urban,Honours,Twenty-Thirty years,No,Yes,CPB,Little bit,All of the above,Not quite,Little bit,A lot,Democratic,Help the country and its people,Loyalty to the party,Totally,Not quiteA lot,Not quite,"China, Russia",USA,A lot,A lot,Little bit,Little bit,Slightly,Not at all,Slightly,A lot,Little bit,A lot,A lot,Little bit,Little bit,Little bit,Slightly,Not at all,Russia,A lot,Little bit,A lot,A lot,Education,Health,Intelligence,Tolerance,Majority through elections,Internet,Little bit,A lot,A lot,Not quite,FB-Messenger,One-Two hr,Not at all,Not quite,Totally,Totally,Madhukari,Sheikh Mujibur Rahman
